audience,port,type,question,desc,answer,attachment,bucket,categories
student,学生,其他,老师你好，我想问一下学生用了谷歌浏览器模考，试了两次听听力的时候都显示这个，没有声音，请问这是怎么回事呀,学生答题出现听力音频播放器初始化失败,网络问题,ecced761e3cae78acfaa3355f860565.jpg,review_rewrite_needed,"['音频/录音/听力', '浏览器/网络/缓存', '题库/录题/单词书/模考']"
student,学生,使用问题,麻烦老师帮忙看一下，学生连着做了4次了，这个雅思模考，这个是什么原因呀？都是做一半就卡住,学生完成雅思入学模考测试，答题卡住,学生未使用谷歌浏览器答题,,review_rewrite_needed,"['浏览器/网络/缓存', '题库/录题/单词书/模考']"
academic,教务,其他,为什么我在学员管理里面查到有学生是还没有，财务审批确认订单，就已经在了呢,学生转正的条件,学员从潜客转为正式学员 1: 需要确认订单 2:需要在公池操作转正,,review_rewrite_needed,"['订单/合同/报课/收费', '权限/角色/公池']"
sales,销售,其他,老师 你好 想请教你一下 就是我有一个已经结课的雅思学生 在咱们校校系统做了一份托福测试题 但是不管是顾问还是她之前的老师 都查看不到学生的做题记录 这个是需要在哪里查看呢,销售查不到学生入学模考,学生没有负责销售，销售管理员/校长可以看到,,review_rewrite_needed,"['权限/角色/公池', '题库/录题/单词书/模考']"
sales,销售,其他,后面做的怎么没有统计，可以看到做题的答卷吗，针对这一次模考，我怎么启用AI批改呢,学生入学模考没有分数,未开启AI批改,,review_rewrite_needed,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,其他,请问一下，学生已经做完卷子了，为什么显示是正在做、未提交，学生已经点了finish section了,学生已经交卷，但是老师看不到,学生未完成交卷,d3eb586c875c173872cc988361b07c0.jpg,review_rewrite_needed,['权限/角色/公池']
teacher,老师,使用问题,给这位老师能开一个传题的权限吗，他有账号，但是上传不上去题目，这是怎么回事啊,上传单词书没有显示单词数据,未按照模板上传,ad416d9d491a02c0333373a9bac0401.jpg,review_rewrite_needed,"['账号登录/密码/手机号', '权限/角色/公池', '题库/录题/单词书/模考']"
sales,销售,其他,想问一下，为什么将链接发过去给孩子，孩子填的推荐人也是我，但是我系统内经常看不到学生的测试卷？,学生答完入学模考，销售查看不到,学生在填手机号的时候分两种情况： 1、是系统内已有线索；2、是新线索 如果是系统内已有线索且目前有其他销售在跟进，需要由销售总监或校长账号重新将这条线索分配给到您 如果是新线索，会自动分配到您的潜客里,,review_rewrite_needed,"['账号登录/密码/手机号', '权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,其他,这份单词有200个，为啥我上传系统只有199个,上传单词书，单词少一个,这个词表里面有重复的单词，上传系统会自动剔除一个,924b49393e4157596b82dd811325ba7.png,review_rewrite_needed,['题库/录题/单词书/模考']
teacher,老师,使用问题,请问标红的刘同学上完课了，反馈没有自动弹出来，后台帮忙看下啥情况呢,学生上完课后，首页没有课堂反馈的提醒,学生不在班级,,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
academic,教务,其他,你好，我这边创建不了学生账号，手机号一直输不进去,教务创建学生账号，不能填写学生手机号,没有学生联系方式查看的权限,dcde82d8a26cbab3fc21956de3a2c2b.png,review_rewrite_needed,"['账号登录/密码/手机号', '权限/角色/公池']"
teacher,老师,操作疑问,你好，我想问一下，如何实现给一个学生批量布置任务啊，我们系统里给一个学生已经布置好了很多阅读任务，现在另外一个学生也需要这么进行布置，可以一键批量布置吗？就是这个学生的任务批量布置给其它学生,如何将学生的作业一键批量布置给其他学生,班级-点击常用作业-点击班级作业，找到已经布置过的班级，可以多选作业一键布置,7d251a5773c19989f1b79bc62fd7656.png,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
teacher,老师,使用问题,我这里排有课，已经上完课，但是没有入口可以进入写反馈。,老师上完课无法填写反馈,班级内没有学生,7245a05faf25e2aefdb9af13489f8c8.png,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
principal,校长,其他,我也有个疑问，为啥同是“校长”界面，我们的公众号提醒不同,都是校长界面，公众号提醒内容不一致,账号身份权限不同,478437aa35d3cf755a8ae480ec86c12.jpg,review_rewrite_needed,"['账号登录/密码/手机号', '权限/角色/公池', '小程序/公众号/二维码']"
student,学生,其他,老师您好， 我们学员背诵词汇遇到这个问题， 请问可以怎么解决啊,ipad单词答题，学习模式没有办法录音,未复现,5c2dc0c2ca5b7e1561dd3879c1d21272.mp4,review_rewrite_needed,['音频/录音/听力']
teacher,老师,其他,请问学生这个0s显示是为啥,学生SAT作业，结果页答题时间部分题目显示0秒,从最后一道题开始答，答完一道就点Back到前一道题继续答题，切换的时候就没有调接口记录单道题时长,fb1fa9a439598362674f657ef77109a.jpg,review_rewrite_needed,['作业/布置/批改/反馈']
teacher,老师,使用问题,你好，这堂课上完以后没有显示在待反馈课程里，无法写反馈，请问这是什么原因？,老师端上完课后没有出现待反馈,班级内没有学生,a62c687d2f3b8fc3b59e3703576553d.png,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
teacher,老师,其他,为什么查看详情后题目数量不对,作业列表和结果页题目数量不对应,客户反馈题目数太多了重新分组了，所以分组前的作业那个数目会对不上,"0f746753a475233e8710978aa59fcc3.png,f25e3557a0e7e8b9cb29784d6c37747.png",review_rewrite_needed,['作业/布置/批改/反馈']
academic,教务,其他,Doreen 老师们，辛苦查看这两个端口 数据不一样，是什么问题？先是给学生建立赠送课计算机0.5小时，已经消掉了 今天给学生建立订单 计算机20小时，我留意到剩余课时-0.5小时，所以我建立续课订单的时候，选的是购买课时20小时+赠送课0.5小时,学生班级排课课时和学生订单剩余课时不一致,订单里面的赠送课时 只有记录的作用，不参与课消结转的计算，订单的剩余课时，是指购买课时的剩余,"6afff6f09baec9c07b40f9925f66cd6.png,f5d8d2f158fdb9758df0a394cb1a6a0.png",review_rewrite_needed,"['班级/排课/课时/考勤', '订单/合同/报课/收费']"
sales,销售,其他,表格按照这个模版来的，所以不知道哪里出现了问题,潜客名单导入提示参数缺失:潜客列表JSON转换后为空,未按照导入模板选择年级,3715a80e7591dafa492bc6ded85ff99.jpg,review_rewrite_needed,[]
teacher,老师,其他,这套题最后一题的答案错了，1/16是16分之一 不是1或者16,PSAT Practice test 1数学第27题答案有误,格式问题,67e0170e564a7421ae1e0a525002059.png,review_rewrite_needed,[]
teacher,老师,使用问题,你好，老师给【叶嘉伟】这个学生布置了练习，但是学生本人看不到练习？请问是什么情况科任老师布置的【作业模考】，教务身份和教师身份可以看到布置了。但是学生本人看不到,老师布置了，学生看不到作业,因为该班级是已结课状态，所以学生看不到,,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '权限/角色/公池', '题库/录题/单词书/模考']"
academic,教务,其他,老师好，学员信息界面的剩余课时 不等于 排课-班级界面的 剩余课时,学员信息界面的剩余课时 不等于 排课-班级界面的 剩余课时,学生入班时间以前上的课默认不算课消，如果需要算课消 要手动在考勤页面打一下考勤,6e1737cd1637dc04e9706d5fa23cd59.png,review_rewrite_needed,['班级/排课/课时/考勤']
teacher,老师,其他,这种为什么算错误呀,雅思学生答对了，但是判错,题目录入问题,,review_rewrite_needed,[]
teacher,老师,其他,ipad 登陆平台，题库学生也一样进不去,学生ipad题库答题点击没反应,是否有打开阻止弹出式窗口，如果开启了，需要关掉,,review_rewrite_needed,['题库/录题/单词书/模考']
teacher,老师,其他,我写完了反馈 也会在这个页面出现提醒哈，之前是上完的课 未写的反馈在这里,已填写课堂反馈，但是待反馈记录还是有显示,技术查了没有提交反馈记录,,review_rewrite_needed,['作业/布置/批改/反馈']
academic,教务,使用问题,到这个界面既不可以下一步，也不可以关闭,学生订单页面无法关闭,浏览器使用问题,f1ccd534156a33419e53e100a5abaa6.jpg,review_rewrite_needed,"['浏览器/网络/缓存', '订单/合同/报课/收费']"
student,学生,其他,亲！学生反应题库题IPAD做不了，只能电脑做，但好多学生只有IPAD，能不能搞成IPAD也能做的模式啊,ipad学生端题库点击做题没反应,学生safari设置里开启了阻止弹窗式窗口，需要关掉,,review_rewrite_needed,['题库/录题/单词书/模考']
teacher,老师,使用问题,老师 这个学生的模考阅读分数是不是有问题，辛苦帮忙看一下勒,托福分数有误,老师，分数是对的，老师布置的是“旧版托福”，而不是“7月新托福”，所以算分还是按旧托福方式来算分的,0331f2f60b92dcc21927803c7c771f1.png,review_rewrite_needed,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,其他,老师 系统上布置作业的tpo48的后面部分的模考出了点问题，我在预览模式下写作没有出现题目还是出现口语的界面，麻烦看下,TPO48预览写作出现口语,学生答题没有问题,,review_rewrite_needed,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
student,学生,其他,小托福入学模考听力音频有问题,小托福入学模考听力音频有问题,专属题目，机构提供的音频,5208d4c868627b8e0a26392ca083c4f.jpg,review_rewrite_needed,"['音频/录音/听力', '题库/录题/单词书/模考']"
teacher,老师,其他,写作学生写了 但是没有评分，也看不到学生的作答,pte写作学生有答题，但是没有评分，也看不到学生的作答,有道批改没有数据报错,,review_rewrite_needed,"['作业/布置/批改/反馈', '权限/角色/公池']"
teacher,老师,其他,老师，这个分数是不是有问题呀,托福听力分数有误,系统分数没问题，老师自行修改的分数,553d932a4800c2cd0f84559ac6adbbf.jpg,review_rewrite_needed,['音频/录音/听力']
academic,教务,其他,这个学生我排了4个小时 但是显示剩余10小时，报名显示0,学员管理显示有剩余课时，但是学生没有订单，新报课显示没有课时,对应班级没有设置总课时数，那里的剩余课时是：班级总课时 - 已上课时，不是：班级已排课时 - 已上课时,"40098dc558ddaba264a5e8c374aefd1a_.png,74a5a25e190f49fcda2a5711ddf173f9_.png",review_rewrite_needed,"['班级/排课/课时/考勤', '订单/合同/报课/收费']"
teacher,老师,其他,请问一下阅读要怎样处理才算批改？学生段会显示未批改吗？如果忽略的话,阅读作业要怎样处理才算批改，未批改学生端会显示未批改吗,如果查看了学生作业，学生端会显示已查阅，批改了会显示已批改，没有操作还是正常显示已完成,,review_rewrite_needed,['作业/布置/批改/反馈']
sales,销售,其他,您好想问一下这个孩子报名之后为什么不显示班级呢？,学生订单没有显示班级,给学生创建订单的时候没有选班级 可以把学生加入班级，加入时关联订单,747d9c8ef39ca279467987a9a17ecbf.jpg,review_rewrite_needed,"['班级/排课/课时/考勤', '订单/合同/报课/收费']"
teacher,老师,其他,这个账号，密码默认也是后6位，学生说做了写作和口语了，但是系统后台显示没有。,学生开放题库做了写作和口语了，但是系统后台显示没有,开放题库老师在题库查看。作业在练习情况查看,,review_rewrite_needed,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,其他,你好:这个班级: 网络雅思单项强化-冯梓淇-1V1 无法布置写作作业,学生班级无法布置写作作业,犯罪与法律下没有题目数据的,9d7222fcd964e05ef941594a786ccd3b_.jpg,review_rewrite_needed,"['作业/布置/批改/反馈', '浏览器/网络/缓存', '班级/排课/课时/考勤']"
teacher,老师,其他,你好，这个学生的回答录音一直在loading，显示不出来。其他同学都没有问题，就她的全部都这样,学生的口语录音一直在加载中，没有显示,学生之前的口语作业是可正常播放的，2月2号完成这几个口语作业，后台查了，学生答题时间太短，所以没有数据,ff675d9356d74f7213d00a4998fd7bc.png,review_rewrite_needed,"['作业/布置/批改/反馈', '音频/录音/听力']"
academic,教务,其他,我正常登陆但4号的课表下午和晚上的全部消失了，我让同事也看了，她同样的情况,教务看不到一周完整的排课，部分没有显示,数据量太大，限制了,,review_rewrite_needed,"['班级/排课/课时/考勤', '权限/角色/公池']"
teacher,老师,使用问题,各位老师好，我这里的GRE模考没有办法布置给学生，昨天不行，今天还是不行,GRE班级无法布置给学生模考测试,课程未关联题库,cf68a055a770abaa28e1adbb89b1e6c.jpg,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']"
teacher,老师,其他,老师，这记分不对吧,雅思听力分数不对,以交卷后的结果为准,deeb9eed1f240ebd158178c99b06a0c.png,review_rewrite_needed,['音频/录音/听力']
teacher,老师,其他,最近老师出现突然找不到学生做的记录啦,学生作业查看没有数据,学生在该班级状态为已结课,e3f5506d2d555624ce305a048e715f9.png,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
teacher,老师,其他,"你好我想问一下学生口语跟读做完没有分数是为什么呀 其他同学好像是有的, 就他没有",学生口语篇章跟读没有分数,学生的答题录音时间太短，无法进行识别和批改，另外后台学生看学生答题未使用正确的浏览器,,review_rewrite_needed,"['作业/布置/批改/反馈', '音频/录音/听力', '浏览器/网络/缓存']"
teacher,老师,其他,亲，一个学生有5个班级，要布置错题训练的话，现在如何选择指定班级呢。现在错题布置完了，就不知道布置到哪个班级下了,学生错题布置，不知道布置在哪个班级的,是哪个班级的作业，错题就布置在哪个班级的，不能指定，可以在作业管理查看,,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
teacher,老师,其他,各位老师 学生做题时听力学科词汇显示不能答题是什么情况呀,学生打开单词书作业显示归属异常,学生被移除了班级,3258ee4c29aef0853051bc9f7778086.png,review_rewrite_needed,"['作业/布置/批改/反馈', '音频/录音/听力', '班级/排课/课时/考勤', '题库/录题/单词书/模考']"
student,学生,使用问题,和上次一样，又有学生报错,学生无法登录系统,网址输入有误,ca3dc8dec84d14532618695831396f3.jpg,review_rewrite_needed,['账号登录/密码/手机号']
sales,销售,其他,二维码是有效的，但是订单关闭了，但是不应该超时了，因为现在是24小时的,支付二维码发给家长没问题，但是订单自动关闭了,系统设置里面有一个，多长时间没支付就关闭订单,"7f97d12758a89fa031be15773f683dd.jpg,868aefe5ac6af6e2aa9fc84bc58b01d.png",review_rewrite_needed,"['订单/合同/报课/收费', '小程序/公众号/二维码']"
teacher,老师,操作疑问,作业大纲里头做好了大纲，是怎么布置给到具体的某个学生的？怎么操作？,如何布置作业大纲,已发送帮助中心,,review_rewrite_needed,['作业/布置/批改/反馈']
sales,销售,使用问题,显示分配成功了 但是我的系统没有显示唉 ，我的也是不能显示。,给销售分配了潜客，但是销售看不到,系统登陆错误,,review_rewrite_needed,['权限/角色/公池']
teacher,老师,其他,各位老师，麻烦问一下，我们今天关联了一个作业大纲，学生在做TP O的时候不显示时间倒计时。这个是怎么回事呀？,关联了一个作业大纲，学生在做TP O的时候不显示时间倒计时,作业大纲关联的是题型训练，所以没有倒计时,,review_rewrite_needed,['作业/布置/批改/反馈']
teacher,老师,,这个为什么不能回听？iPad Safari浏览器,ipad结果页听力音频播放不了,未复现,faab485ef8565339be8095529bb1d9a.jpg,review_rewrite_needed,"['音频/录音/听力', '浏览器/网络/缓存']"
teacher,老师,其他,龚雨田 digital SAT prep test1 和prep test2的 routine 和easier 明明都布置过了的 为什么我要布置新的作业的时候 还是显示没有布置过的,布置了学生的作业，但是题库未显示已布置,题型训练和模考作业不同步,"ec7c61d87fd4cd61f94747016d96005.png,a3331260b95a6fd19b9efaae77e7995.png",review_rewrite_needed,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
sales,销售,其他,想问一下，我设定了那个下一次沟通时间后，到那个时间点会在哪里有提示吗？还是只能自己看到记录,销售设置潜客下一次沟通时间后，会在哪里有提示,每天晚上8：45会将次日要沟通的客户 给线索的主负责顾问 发短信、公众号消息和系统内消息提醒,,review_rewrite_needed,['小程序/公众号/二维码']
academic,教务,使用问题,你好，这个班级我刚创建好，但是作业为什么布置不了？布置作业作业时 找不到这个班级,创建好了班级。老师布置不了作业,班级没有加入这个老师,583418fbdb8021ed761710404b3e556.png,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
academic,教务,使用问题,请教一下，学生有托福一对一班，但是布置作业那里找不到这个班，课表&任务里也没有，是怎么回事呢？,老师找不到学生班级布置作业,老师不在班级里,,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
teacher,老师,其他,这是一个学生的课程反馈，如果我作为口语老师，我只想看写作的，我想去翻这个孩子所有的写作记录，但是我要把其他老师也都看一遍，能不能进行一下分类？,班级内课堂反馈没有办法筛选老师查看,学习报告里面的课堂反馈是按老师分的,,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
academic,教务,其他,公池里面显示，但是班级里面不显示销售，不知道为啥,学生班级内没有显示销售,班级内的销售是对应的订单销售，不是公池内的潜客销售,,review_rewrite_needed,"['班级/排课/课时/考勤', '订单/合同/报课/收费', '权限/角色/公池']"
academic,教务,操作疑问,你好，顾问这边已确认学生的订单，为什么没有自动生成这个学生的班级？,学生创建了订单，教务端看不到对应班级,学生还不是正式学员，已发送帮助中心转正流程,,review_rewrite_needed,"['班级/排课/课时/考勤', '订单/合同/报课/收费', '权限/角色/公池']"
sales,销售,其他,老师，怎么把已创建的学生账号和之前签约的学生匹配上，售端还没导入这个数据，但是教务创建了，所以变成了课程里面有某个学生单独的课程，而不是正常的订单确认后，转为正式学员的,教务先创建了学生账号，销售没有办法走签约流程,销售管理员/校长将潜客分配给销售，销售可以在学员创建订单,,review_rewrite_needed,"['账号登录/密码/手机号', '订单/合同/报课/收费']"
teacher,老师,其他,学生的答题录屏，我们看到的和他实际操作的应该是一致的对吗？录屏就是这么显示的，听力像开了倍速,学生录屏听力音频看上去是倍速播放,录屏可能不完整,,review_rewrite_needed,['音频/录音/听力']
teacher,老师,其他,请问下笔记列表中学生写的内容可以关掉公开可见么？,学生笔记能否关掉公开可见,学生可以自行操作,,review_rewrite_needed,[]
teacher,老师,使用问题,然后这个录入以后他一直显示第一题没有选项，麻烦老师帮忙看一下,自有题库文档上传显示没有题目,文档格式不对,,review_rewrite_needed,['题库/录题/单词书/模考']
teacher,老师,使用问题,自有题库excel上传没有反应,自有题库excel上传没有反应,文档格式不对,51-100 (新)(1).xlsx,review_rewrite_needed,['题库/录题/单词书/模考']
academic,教务,其他,老师 您帮我看看现在时间冲突怎么没有提示了,老师排课时间有冲突，但是没有提示,这个班级是已结课的状态，不参与冲突检测,127e853714ff37c718f78ad4fdc1d16.png,review_rewrite_needed,['班级/排课/课时/考勤']
teacher,老师,其他,我们有老师给学生布置了作业 但是学生端看不见,老师发布的多次单词作业，学生未收到,多次单词作业未到下发时间,,review_rewrite_needed,['作业/布置/批改/反馈']
student,学生,其他,老师 我不知道 我还在看那个文章的时候 他突然跳出来 有其他作业在进行 然后 界面就没了,学生反馈答题过程中显示有作业正在进行中，作业没有提交,实时作业，老师点结束就会自动交卷,,review_rewrite_needed,['作业/布置/批改/反馈']
teacher,老师,使用问题,请问如果助教老师想给某个学生布置作业，但是下滑菜单里面没有这个学生，请问如何操作，才能让老师给这个学生布置作业呢？,助教老师如何给学生布置作业,需要教务端这边把这个学生添加到一个班级中，同时把助教老师添加到这个班级中,,review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
teacher,老师,其他,这个公众号现在不更新学生作业完成通知了，学生作业完成了只能在系统里面看到，公众号看不到。,公众号现在不更新学生作业完成通知,公众号认证到期了，要公众号管理员重新登录公众号后台去认证下,,review_rewrite_needed,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '权限/角色/公池', '小程序/公众号/二维码']"
sales,销售,其他,咨询一下：公池里面新增年级在哪里？我想新增一个学龄前,潜客年级如何新增,年级目前是固定的，无法新增。可以填写至备注或者标签里,bbfc29637d8dd2e231f07392c9aee6b.jpg,review_rewrite_needed,['权限/角色/公池']
academic,教务,其他,为什么不是-6.5，而是-4.5,学生已上课时和剩余课时对不上,这里学生购买8.5课时，实际消耗13课时（赠送课时不算在内），所以剩余课时-4.5,"fd1479e71c9d8bb2a685c4cc6ad4935.png,753561cc70708bd935a0e273dd411c5.png",review_rewrite_needed,['班级/排课/课时/考勤']
teacher,老师,使用问题,你好，上传单词为什么文档里添加了所有的单词，按unit划分，但是上传之后只有一少部分单词？,单词书文档按unit划分，但是上传之后只有一少部分单词,文档格式不对,,review_rewrite_needed,['题库/录题/单词书/模考']
student,学生,其他,麻烦明天帮看下这个入学测试，学员反馈有部分图表题目，用Mac做题时加载不了，看不到图,sat入学测试，学生电脑图片加载不出来,未复现,,review_rewrite_needed,"['作业/布置/批改/反馈', '音频/录音/听力', '权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,其他,不能到上一题,入学模考能力测试不能点击上一题,未复现,"87fcb378f36239669f49492e4b61e9d7.mp4,ca3a716c609a646313d2fac1292f0fc.jpg",review_rewrite_needed,['题库/录题/单词书/模考']
student,学生,其他,老师，中午好，今天单词发音学习我这里显示网络原因没办法上传，手机端和电脑端都试过了，请问什么原因呀都试过了，4g，5g，无线，前几天用还很正常,小程序单词发音测评失败,口语测评服务欠费，已处理,bf2dcbb00288ced8a12b3463adf34b0.jpg,review_rewrite_needed,"['浏览器/网络/缓存', '小程序/公众号/二维码']"
teacher,老师,,您好 反馈一个问题 今天在排课的时候还几次 一个校区排课的时候 所有教室都先上冲突，把所有教室都选了 然后又新建了新的教室也是显示有冲突,排课时，所有教室都显示冲突，实际上是没有冲突的,未复现,"ce33ffec4d4b2f8505e207f9b5d4aaa.png,177907eeb8ca90bff41714351d94eff.png,5b902902b1027d224c5bbc84d52b229.png",review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
